DEG	COSINE (V)	SINE (V)	COSINE (M)		SINE (M)		COSINE ABS ERROR		SINE ABS ERROR
10	0.984375	0.173828125	0.984661222195127	0.174915345095273	0.000286222195126862	0.00108722009527254
20	0.939453125	0.33984375	0.940549555575843	0.33988179408536	0.0010964305758433	3.80440853597341e-05
30	0.86328125	0.501953125	0.864753711076712	0.502348603684387	0.00147246107671206	0.000395478684387274
40	0.765625	0.640625	0.766910964712932	0.641872785408198	0.00128596471293241	0.00124778540819803
50	0.65625		0.75390625	0.656727873279789	0.754229143498184	0.000477873279789209	0.00032289349818404
60	0.51171875	0.857421875	0.512445804667506	0.858808708457985	0.000727054667506111	0.00138683345798452
70	0.349609375	0.935546875	0.350878190399564	0.936502854211629	0.00126881539956353	0.000955979211628599
80	0.193359375	0.98046875	0.194112079535691	0.981057389260653	0.000752704535690735	0.000588639260653223
90	0.0234375	0.998046875	0.0245919815536799	0.999774141937999	0.00115448155367994	0.00172726693799929
100	-0.16015625	0.986328125	-0.159511484550112	0.987273612906381	0.000644765449887535	0.000945487906380937
110	-0.318359375	0.947265625	-0.317746674083428	0.948256374380641	0.000612700916571784	0.000990749380641254
120	-0.4765625	0.87890625	-0.475099836866049	0.880018889260028	0.00146266313395121	0.0011126392600278
130	-0.619140625	0.78515625	-0.617707056117065	0.786505621892042	0.00143356888293511	0.00134937189204243
140	-0.744140625	0.66796875	-0.743877608074093	0.668430403744897	0.000263016925907245	0.000461653744896706
150	-0.84765625	0.53125		-0.846563681816995	0.532431247273347	0.00109256818300452	0.00118124727334712
160	-0.92578125	0.37890625	-0.92508921538687	0.379951370598271	0.000692034613130166	0.00104512059827117
170	-0.974609375	0.22265625	-0.974544714041828	0.224534408894786	6.46609581720359e-05	0.00187815889478618
180	-1		0.046875	-0.998923356718225	0.0480127883734538	0.00107664328177548	0.00113778837345381
190	-0.9921875	-0.12890625	-0.99177321979988	-0.128603969349234	0.000414280200120243	0.000302280650766179
200	-0.95703125	-0.296875	-0.955219146368516	-0.2961578681305	0.00181210363148399	0.000717131869499787
210	-0.892578125	-0.455078125	-0.890910191677465	-0.454348028288692	0.0016679333225349	0.00073009671130847
220	-0.796875	-0.60546875	-0.796059548070283	-0.605344774794279	0.000815451929716882	0.000123975205721494
230	-0.69140625	-0.72265625	-0.691333584191157	-0.722641664875482	7.2665808843464e-05	1.45851245181294e-05
240	-0.55859375	-0.83203125	-0.557705350561885	-0.830131219988289	0.000888399438115361	0.00190003001171124
250	-0.40234375	-0.916015625	-0.401524519531356	-0.915931853720413	0.000819230468643795	8.37712795865864e-05
260	-0.240234375	-0.97265625	-0.239731481857689	-0.970918079474739	0.000502893142311306	0.00173817052526082
270	-0.072265625	-0.998046875	-0.0714093679155437	-0.997523835614218	0.000856257084456344	0.000523039385781798
280	0.103515625	-0.99609375	0.105328581340786	-0.994514449566891	0.00181295634078586	0.00157930043310872
290	0.28125		-0.9609375	0.281199160207326	-0.959729197609041	5.08397926736737e-05	0.00120830239095904
300	0.431640625	-0.90234375	0.433344769927839	-0.901313159129937	0.00170414492783938	0.00103059087006296
310	0.580078125	-0.81640625	0.580190899919856	-0.814574502482607	0.000112774919855618	0.00183174751739268
320	0.705078125	-0.708984375	0.706243319356507	-0.708077308144317	0.00116519435650653	0.000907066855682537
330	0.8203125	-0.572265625	0.821317365675994	-0.570605717885516	0.00100486567599367	0.00165990711448372
340	0.90625		-0.423828125	0.906270578895257	-0.422879105978831	2.05788952566399e-05	0.000949019021168673
350	0.962890625	-0.271484375	0.962958449803617	-0.269933555521382	6.78248036165563e-05	0.00155081947861807
360	0.994140625	-0.1015625	0.994918300254083	-0.101442970501292	0.000777675254082788	0.000119529498708235
