D C S
0,x,x
10,504,89
20,481,174
30,442,257
40,392,328
50,336,386
60,262,439
70,179,479
80,99,502
90,12,511
100,-82,505
110,-163,485
120,-244,450
130,-317,402
140,-381,342
150,-434,272
160,-474,194
170,-499,114
180,-512,24
190,-508,-66
200,-490,-152
210,-457,-233
220,-408,-310
230,-354,-370
240,-286,-426
250,-206,-469
260,-123,-498
270,-37,-511
280,53,-510
290,144,-492
300,221,-462
310,297,-418
320,361,-363
330,420,-293
340,464,-217
350,493,-139
360,509,-52
