	x	MATLAB_y	Verilog_y	|MATLAB-x|	|Verilog-x|	|Verilog-MATLAB|
0.0595703125	0.0000000002	0.0000000000	0.0595703123	0.0595703125	0.0000000002
0.0644531250	0.0000000038	-0.0009765625	0.0644531212	0.0654296875	0.0009765663
0.0224609375	0.0000000301	-0.0048828125	0.0224609074	0.0273437500	0.0048828426
0.0712890625	0.0000001601	-0.0117187500	0.0712889024	0.0830078125	0.0117189101
0.1054687500	0.0000006433	-0.0195312500	0.1054681067	0.1250000000	0.0195318933
0.0693359375	0.0000020989	-0.0283203125	0.0693338386	0.0976562500	0.0283224114
0.0917968750	0.0000058338	-0.0371093750	0.0917910412	0.1289062500	0.0371152088
0.0644531250	0.0000142844	-0.0458984375	0.0644388406	0.1103515625	0.0459127219
0.1230468750	0.0000315728	-0.0546875000	0.1230153022	0.1777343750	0.0547190728
0.1269531250	0.0000641463	-0.0634765625	0.1268889787	0.1904296875	0.0635407088
0.1074218750	0.0001214463	-0.0712890625	0.1073004287	0.1787109375	0.0714105088
0.0683593750	0.0002165427	-0.0781250000	0.0681428323	0.1464843750	0.0783415427
0.1259765625	0.0003666689	-0.0849609375	0.1256098936	0.2109375000	0.0853276064
0.1142578125	0.0005935939	-0.0908203125	0.1136642186	0.2050781250	0.0914139064
0.1171875000	0.0009237699	-0.0957031250	0.1162637301	0.2128906250	0.0966268949
0.1025390625	0.0013881986	-0.1005859375	0.1011508639	0.2031250000	0.1019741361
0.1152343750	0.0020219787	-0.1044921875	0.1132123963	0.2197265625	0.1065141662
0.1210937500	0.0028635180	-0.1083984375	0.1182302320	0.2294921875	0.1112619555
0.0585937500	0.0039534246	-0.1113281250	0.0546403254	0.1699218750	0.1152815496
0.0117187500	0.0053331076	-0.1142578125	0.0063856424	0.1259765625	0.1195909201
-0.0781250000	0.0070431350	-0.1162109375	0.0851681350	0.0380859375	0.1232540725
-0.1748046875	0.0091213930	-0.1191406250	0.1839260805	0.0556640625	0.1282620180
