Time: 15000 | Din(Binary): 0000011001111011 | Average(Binary): 0000000000000000 | Din(Decimal): 1659 | Average(Decimal): 0
Time: 25000 | Din(Binary): 0000011001111011 | Average(Binary): 0000000000000000 | Din(Decimal): 1659 | Average(Decimal): 0
Time: 35000 | Din(Binary): 0000011001111011 | Average(Binary): 0000000000000000 | Din(Decimal): 1659 | Average(Decimal): 0
Time: 45000 | Din(Binary): 0000011010000011 | Average(Binary): 0000000000000000 | Din(Decimal): 1667 | Average(Decimal): 0
Time: 55000 | Din(Binary): 0000011010000011 | Average(Binary): 0000000000000000 | Din(Decimal): 1667 | Average(Decimal): 0
Time: 65000 | Din(Binary): 0000011010000011 | Average(Binary): 0000000000000000 | Din(Decimal): 1667 | Average(Decimal): 0
Time: 75000 | Din(Binary): 0000011001111011 | Average(Binary): 0000000000000000 | Din(Decimal): 1659 | Average(Decimal): 0
Time: 85000 | Din(Binary): 0000011001111011 | Average(Binary): 0000000011001111 | Din(Decimal): 1659 | Average(Decimal): 207
Time: 95000 | Din(Binary): 0000011001111011 | Average(Binary): 0000000011001111 | Din(Decimal): 1659 | Average(Decimal): 207
Time: 105000 | Din(Binary): 0000011001110010 | Average(Binary): 0000000011001111 | Din(Decimal): 1650 | Average(Decimal): 207
Time: 115000 | Din(Binary): 0000011001110010 | Average(Binary): 0000000110011111 | Din(Decimal): 1650 | Average(Decimal): 415
Time: 125000 | Din(Binary): 0000011001110010 | Average(Binary): 0000000110011111 | Din(Decimal): 1650 | Average(Decimal): 415
Time: 135000 | Din(Binary): 0000011001101001 | Average(Binary): 0000000110011111 | Din(Decimal): 1641 | Average(Decimal): 415
Time: 145000 | Din(Binary): 0000011001101001 | Average(Binary): 0000001001101111 | Din(Decimal): 1641 | Average(Decimal): 623
Time: 155000 | Din(Binary): 0000011001101001 | Average(Binary): 0000001001101111 | Din(Decimal): 1641 | Average(Decimal): 623
Time: 165000 | Din(Binary): 0000011001101010 | Average(Binary): 0000001001101111 | Din(Decimal): 1642 | Average(Decimal): 623
Time: 175000 | Din(Binary): 0000011001101010 | Average(Binary): 0000001100111101 | Din(Decimal): 1642 | Average(Decimal): 829
Time: 185000 | Din(Binary): 0000011001101010 | Average(Binary): 0000001100111101 | Din(Decimal): 1642 | Average(Decimal): 829
Time: 195000 | Din(Binary): 0000011001101010 | Average(Binary): 0000001100111101 | Din(Decimal): 1642 | Average(Decimal): 829
Time: 205000 | Din(Binary): 0000011001101010 | Average(Binary): 0000010000001010 | Din(Decimal): 1642 | Average(Decimal): 1034
Time: 215000 | Din(Binary): 0000011001101010 | Average(Binary): 0000010000001010 | Din(Decimal): 1642 | Average(Decimal): 1034
Time: 225000 | Din(Binary): 0000011001101011 | Average(Binary): 0000010000001010 | Din(Decimal): 1643 | Average(Decimal): 1034
Time: 235000 | Din(Binary): 0000011001101011 | Average(Binary): 0000010011010111 | Din(Decimal): 1643 | Average(Decimal): 1239
Time: 245000 | Din(Binary): 0000011001101011 | Average(Binary): 0000010011010111 | Din(Decimal): 1643 | Average(Decimal): 1239
Time: 255000 | Din(Binary): 0000011001110000 | Average(Binary): 0000010011010111 | Din(Decimal): 1648 | Average(Decimal): 1239
Time: 265000 | Din(Binary): 0000011001110000 | Average(Binary): 0000010110100101 | Din(Decimal): 1648 | Average(Decimal): 1445
Time: 275000 | Din(Binary): 0000011001110000 | Average(Binary): 0000010110100101 | Din(Decimal): 1648 | Average(Decimal): 1445
Time: 285000 | Din(Binary): 0000011001110001 | Average(Binary): 0000010110100101 | Din(Decimal): 1649 | Average(Decimal): 1445
Time: 295000 | Din(Binary): 0000011001110001 | Average(Binary): 0000011001110010 | Din(Decimal): 1649 | Average(Decimal): 1650
Time: 305000 | Din(Binary): 0000011001110001 | Average(Binary): 0000011001110010 | Din(Decimal): 1649 | Average(Decimal): 1650
Time: 315000 | Din(Binary): 0000011001110011 | Average(Binary): 0000011001110010 | Din(Decimal): 1651 | Average(Decimal): 1650
Time: 325000 | Din(Binary): 0000011001110011 | Average(Binary): 0000011001110001 | Din(Decimal): 1651 | Average(Decimal): 1649
Time: 335000 | Din(Binary): 0000011001110011 | Average(Binary): 0000011001110001 | Din(Decimal): 1651 | Average(Decimal): 1649
Time: 345000 | Din(Binary): 0000011001111100 | Average(Binary): 0000011001110001 | Din(Decimal): 1660 | Average(Decimal): 1649
Time: 355000 | Din(Binary): 0000011001111100 | Average(Binary): 0000011001101110 | Din(Decimal): 1660 | Average(Decimal): 1646
Time: 365000 | Din(Binary): 0000011001111100 | Average(Binary): 0000011001101110 | Din(Decimal): 1660 | Average(Decimal): 1646
Time: 375000 | Din(Binary): 0000011001111010 | Average(Binary): 0000011001101110 | Din(Decimal): 1658 | Average(Decimal): 1646
Time: 385000 | Din(Binary): 0000011001111010 | Average(Binary): 0000011001101101 | Din(Decimal): 1658 | Average(Decimal): 1645
Time: 395000 | Din(Binary): 0000011001111010 | Average(Binary): 0000011001101101 | Din(Decimal): 1658 | Average(Decimal): 1645
Time: 405000 | Din(Binary): 0000011001111011 | Average(Binary): 0000011001101101 | Din(Decimal): 1659 | Average(Decimal): 1645
Time: 415000 | Din(Binary): 0000011001111011 | Average(Binary): 0000011001101111 | Din(Decimal): 1659 | Average(Decimal): 1647
Time: 425000 | Din(Binary): 0000011001111011 | Average(Binary): 0000011001101111 | Din(Decimal): 1659 | Average(Decimal): 1647
Time: 435000 | Din(Binary): 0000011001101101 | Average(Binary): 0000011001101111 | Din(Decimal): 1645 | Average(Decimal): 1647
Time: 445000 | Din(Binary): 0000011001101101 | Average(Binary): 0000011001110001 | Din(Decimal): 1645 | Average(Decimal): 1649
Time: 455000 | Din(Binary): 0000011001101101 | Average(Binary): 0000011001110001 | Din(Decimal): 1645 | Average(Decimal): 1649
Time: 465000 | Din(Binary): 0000011001101001 | Average(Binary): 0000011001110001 | Din(Decimal): 1641 | Average(Decimal): 1649
Time: 475000 | Din(Binary): 0000011001101001 | Average(Binary): 0000011001110011 | Din(Decimal): 1641 | Average(Decimal): 1651
Time: 485000 | Din(Binary): 0000011001101001 | Average(Binary): 0000011001110011 | Din(Decimal): 1641 | Average(Decimal): 1651
Time: 495000 | Din(Binary): 0000011001101010 | Average(Binary): 0000011001110011 | Din(Decimal): 1642 | Average(Decimal): 1651
Time: 505000 | Din(Binary): 0000011001101010 | Average(Binary): 0000011001110011 | Din(Decimal): 1642 | Average(Decimal): 1651
Time: 515000 | Din(Binary): 0000011001101010 | Average(Binary): 0000011001110011 | Din(Decimal): 1642 | Average(Decimal): 1651
Time: 525000 | Din(Binary): 0000011001101101 | Average(Binary): 0000011001110011 | Din(Decimal): 1645 | Average(Decimal): 1651
Time: 535000 | Din(Binary): 0000011001101101 | Average(Binary): 0000011001110011 | Din(Decimal): 1645 | Average(Decimal): 1651
Time: 545000 | Din(Binary): 0000011001101101 | Average(Binary): 0000011001110011 | Din(Decimal): 1645 | Average(Decimal): 1651
Time: 555000 | Din(Binary): 0000011001110001 | Average(Binary): 0000011001110011 | Din(Decimal): 1649 | Average(Decimal): 1651
